drug_name,type,symptom_name
美西律,慎用,室内传导阻滞
美西律,慎用,严重窦性心动过缓
美西律,慎用,肝功能不全
美西律,慎用,肾功能不全
阿普林定,慎用,器质性心脏病
阿普林定,慎用,心肌缺血
阿普林定,慎用,心功能不全
阿普林定,慎用,帕金森病
阿普林定,慎用,精神病
阿普林定,慎用,肝功能不全
阿普林定,慎用,肾功能不全
普罗帕酮,慎用,严重心肌损害
普罗帕酮,慎用,心动过缓
普罗帕酮,慎用,肝功能不全
普罗帕酮,慎用,肾功能不全
普罗帕酮,慎用,低血压
莫雷西嗪,慎用,室性心律失常
莫雷西嗪,慎用,I度房室阻滞
莫雷西嗪,慎用,室内阻滞
莫雷西嗪,慎用,肝功能不全
莫雷西嗪,慎用,肾功能不全
莫雷西嗪,慎用,严重心衰
胺碘酮,慎用,窦性心动过缓
胺碘酮,慎用,Q-T延长综合征
胺碘酮,慎用,低血压
胺碘酮,慎用,肝功能不全
胺碘酮,慎用,严重充血性心力衰竭
胺碘酮,慎用,肺功能不全
胺碘酮,慎用,低血钾症
溴苄铵,慎用,肾功能不全
溴苄铵,慎用,主动脉瓣狭窄
溴苄铵,慎用,肺动脉高压
溴苄铵,慎用,心排血量减低
维拉帕米,慎用,肝功能不全
维拉帕米,慎用,肾功能不全
维拉帕米,慎用,I度房室传导阻滞
维拉帕米,慎用,严重肝功能损害
维拉帕米,慎用,心动过缓
维拉帕米,慎用,低血压
维拉帕米,慎用,室性心动过速
维拉帕米,慎用,进行性肌营养不良
维拉帕米,慎用,急性心肌梗死
腺苷,慎用,肝功能不全
腺苷,慎用,肾功能不全
腺苷,慎用,I度房室传导阻滞
腺苷,慎用,房室束传导分支阻滞
腺苷,慎用,植物性神经功能障碍
腺苷,慎用,瓣膜狭窄性心脏病
腺苷,慎用,心包炎
腺苷,慎用,心包积液
腺苷,慎用,狭窄性颈动脉病
腺苷,慎用,阻塞性肺部疾病
腺苷,慎用,哮喘
腺苷,慎用,心衰
腺苷,慎用,阵发性室性心动过速
硝普钠,慎用,肾功能不全
硝普钠,慎用,脑血管供血不足
硝普钠,慎用,冠状动脉供血不足
硝普钠,慎用,肝功能不全
硝普钠,慎用,肾功能不全
硝普钠,慎用,甲状腺功能低
硝普钠,慎用,肺功能不全
硝普钠,慎用,维生素B12缺乏
二氮嗪,慎用,急性主动脉夹层
二氮嗪,慎用,心肌梗死
二氮嗪,慎用,代偿性高血压
二氮嗪,慎用,冠状动脉供血不足
二氮嗪,慎用,脑动脉供血不足
二氮嗪,慎用,痛风
二氮嗪,慎用,低钾血症
二氮嗪,慎用,肝功能不全
肼屈嗪,慎用,合并冠心病
米诺地尔 ,慎用,脑血管病
米诺地尔 ,慎用,心力衰竭
米诺地尔 ,慎用,冠心病
米诺地尔 ,慎用,心绞痛
米诺地尔 ,慎用,心肌梗死
米诺地尔 ,慎用,心包积液
米诺地尔 ,慎用,嗜铬细胞瘤
米诺地尔 ,慎用,肾功能不全
乌拉地尔,慎用,肝功能不全
哌唑嗪,慎用,肝病
哌唑嗪,慎用,肾功能不全
哌唑嗪,慎用,精神病
哌唑嗪,慎用,机械性梗阻
哌唑嗪,慎用,心力衰竭
酚苄明,慎用,脑供血不足
酚苄明,慎用,代偿性心力衰竭
酚苄明,慎用,冠心病
酚苄明,慎用,上呼吸道感染
酚苄明,慎用,肾功能不全
酚妥拉明,慎用,精神病
酚妥拉明,慎用,糖尿病
妥拉唑林,慎用,二尖瓣狭窄
妥拉唑林,慎用,酸中毒
妥拉唑林,慎用,消化性溃疡
妥拉唑林,慎用,肾功能不全
妥拉唑林,慎用,少尿
可乐定,慎用,脑血管病
可乐定,慎用,冠状动脉供血不足
可乐定,慎用,精神抑郁
可乐定,慎用,心肌梗死
可乐定,慎用,雷诺病
可乐定,慎用,慢性肾功能不全
可乐定,慎用,窦房结
可乐定,慎用,房室结功能低下
可乐定,慎用,血栓闭塞性脉管炎
甲基多巴,慎用,严重双侧脑血管病
甲基多巴,慎用,不自主性舞蹈症
甲基多巴,慎用,嗜铬细胞瘤
甲基多巴,慎用,冠心病
甲基多巴,慎用,溶血性贫血
甲基多巴,慎用,抑郁症
甲基多巴,慎用,肝功能不全
甲基多巴,慎用,肾功能不全
利血平,慎用,帕金森病
利血平,慎用,癫痫
利血平,慎用,心律失常
利血平,慎用,心肌梗死
利血平,慎用,心脏抑制
利血平,慎用,呼吸功能不全
利血平,慎用,消化性溃疡
利血平,慎用,胃肠功能失调
利血平,慎用,胆石症
利血平,慎用,高尿酸血症
利血平,慎用,痛风
降压灵,慎用,心律失常
降压灵,慎用,嗜铬细胞瘤
降压灵,慎用,消化性溃疡
降压灵,慎用,肾功能不全
降压灵,慎用,癫痫
降压灵,慎用,胆石症
降压灵,慎用,抑郁症
降压灵,慎用,震颤麻痹
降压灵,慎用,溃疡性结肠炎
降压灵,慎用,呼吸功能受损
硝酸甘油,慎用,血容量不足
硝酸甘油,慎用,收缩压低
硝酸甘油,慎用,肝功能不全
硝酸甘油,慎用,肾功能不全
亚硝酸异戊酯,慎用,心血管疾病
曲美他嗪,慎用,心绞痛发作
三磷酸腺苷,慎用,心肌梗死
三磷酸腺苷,慎用,脑出血
三磷酸腺苷,慎用,窦性心动过缓
辛伐他汀,慎用,严重肾功能不全
辛伐他汀,慎用,大量饮酒
辛伐他汀,慎用,肝病
阿托伐他汀,慎用,大量饮酒
阿托伐他汀,慎用,肝病
普伐他汀,慎用,严重肾损害
普伐他汀,慎用,大量饮酒
普伐他汀,慎用,肝病
氟伐他汀,慎用,严重肾损害
氟伐他汀,慎用,大量饮酒
氟伐他汀,慎用,肝病
瑞舒伐他汀,慎用,大量饮酒
瑞舒伐他汀,慎用,遗传性肌肉疾病
瑞舒伐他汀,慎用,肌肉毒性
洛伐他汀,慎用,肝病
洛伐他汀,慎用,严重肾功能不全
洛伐他汀,慎用,大量饮酒
烟酸,慎用,肝病
烟酸,慎用,原发高胆固醇血症
烟酸,慎用,心绞痛
烟酸,慎用,心肌梗死
烟酸,慎用,痛风
烟酸,慎用,黄疸性肝炎
烟酸,慎用,肝胆疾病
烟酸,慎用,糖尿病
烟酸,慎用,消化道溃疡
阿昔莫司,慎用,肾功能不全
维生素E烟酸酯,慎用,动脉出血
维生素E烟酸酯,慎用,糖尿病
维生素E烟酸酯,慎用,青光眼
维生素E烟酸酯,慎用,痛风
维生素E烟酸酯,慎用,高尿酸血症
维生素E烟酸酯,慎用,肝病
维生素E烟酸酯,慎用,溃疡病
维生素E烟酸酯,慎用,低血压
维生素E烟酸酯,慎用,肝功能不全
普罗布考,慎用,肾功能不全
